,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2001-12-31,2,2,2,160.78992686182494,0.7214260389965572,0.1969454317998525,0.6,0.99,0.99,-6.0,-0.8,-0.8
2002-01-31,2,2,126,160.05528040855808,0.3945253710150703,0.7758454165369544,0.5,0.5,0.9,-10.0,-15.0,-0.05
2002-02-28,2,2,135,215.1706636156311,0.46393977947269777,0.7339023270187196,0.5,0.5,0.9,-25.0,-10.0,-0.05
2002-03-31,2,2,128,150.47458231633578,0.4073220144978752,0.753154112326111,0.5,0.6,0.8,-15.0,-7.0,-0.05
2002-04-30,2,2,132,190.7839187600935,0.4397810357471171,0.7617100711689676,0.6,0.5,0.9,-10.0,-15.0,-0.05
2002-05-31,2,2,111,170.50997445491194,0.42286664964885506,0.8088943699631963,0.6,0.5,0.7,-5.0,-7.0,-0.05
2002-06-30,2,2,4,282.927984936084,0.46118037024416625,0.6050178906731954,0.5,0.6,0.99,-30.0,-15.0,-0.4
2002-07-31,2,2,15,266.1720886074628,0.4684257765933063,0.7332284490011672,0.5,0.5,0.99,-20.0,-15.0,-0.1
2002-08-31,2,2,5,205.21229411192957,0.4439877206291648,0.6361423456758588,0.5,0.6,0.99,-7.0,-10.0,-0.4
2002-09-30,2,2,131,143.9428868446183,0.4661581988446496,0.7287781890741305,0.8,0.6,0.9,-9.0,-8.0,-0.05
2002-10-31,2,7,105,107.75693400600649,0.5139245332454411,0.7776813219516581,0.5,0.99,0.5,-6.0,-0.19999999999999996,-0.05
2002-11-30,2,2,103,112.9128972936781,0.6152199113939066,0.8037765990354039,0.7,0.99,0.6,-7.0,-0.8,-0.05
2002-12-31,2,2,2,135.55728293002372,0.7217108525675375,0.19409316694671644,0.5,0.99,0.99,-9.0,-0.6000000000000001,-0.6000000000000001
2003-01-31,2,2,83,135.17662719377125,0.6061602950613085,0.7895309191570838,0.5,0.99,0.8,-8.0,-0.8,-0.05
2003-02-28,2,2,32,77.04351606878102,0.6320633224321192,0.6677215270680705,0.5,0.99,0.99,-10.0,-0.8,-0.05
2003-03-31,2,2,38,93.0281743578293,0.6033899738293194,0.6654148000033997,0.5,0.5,0.99,-6.0,-6.0,-0.05
2003-04-30,2,2,39,84.2910094810395,0.6320304419142962,0.8327420390633657,0.9,0.5,0.99,-6.0,-6.0,-0.05
2003-05-31,2,2,48,89.9578600872206,0.590190775660788,0.7230250525347044,0.5,0.8,0.99,-8.0,-5.0,-0.05
2003-06-30,2,2,89,74.74302072262763,0.5969575413547569,0.80298847040398,0.7,0.9,0.9,-4.0,-4.0,-0.05
2003-07-31,3,3,41,84.08181408866596,0.6208385782574757,0.8190847894057489,0.7,0.99,0.99,-4.0,-0.4,-0.05
2003-08-31,2,2,115,140.3291066808246,0.40401750156124566,0.7539037777788542,0.5,0.5,0.8,-9.0,-9.0,-0.05
2003-09-30,2,3,133,100.19859256617234,0.4357276999210626,0.6979943736824054,0.7,0.99,0.5,-8.0,-0.4,-0.05
2003-10-31,2,2,123,114.85914897698102,0.3762861841937648,0.7084722254330473,0.5,0.99,0.5,-9.0,-0.6000000000000001,-0.05
2003-11-30,2,3,120,95.95846721554818,0.3576186452854886,0.7471580966236412,0.5,0.6,0.6,-10.0,-4.0,-0.05
2003-12-31,2,2,39,131.12765770440643,0.4230229667209776,0.7445923424345943,0.6,0.99,0.99,-10.0,-0.6000000000000001,-0.05
2004-01-31,2,2,48,167.82114859507465,0.4590066919148689,0.779375973931519,0.5,0.99,0.99,-15.0,-0.4,-0.05
2004-02-29,2,2,37,152.0624385997567,0.401456295706817,0.81956697700872,0.6,0.6,0.99,-9.0,-9.0,-0.05
2004-03-31,2,2,2,169.01981130374378,0.6895016883332601,0.22340699115481452,0.5,0.99,0.99,-6.0,-0.6000000000000001,-0.6000000000000001
2004-04-30,2,2,118,169.8687369425941,0.417072201556256,0.7550102882599407,0.5,0.6,0.9,-9.0,-15.0,-0.05
2004-05-31,2,2,101,100.90523739278946,0.4241344668949516,0.7934062438269185,0.5,0.99,0.5,-9.0,-0.8,-0.05
2004-06-30,2,2,27,93.30907006714442,0.40750171718308814,0.7033773986081215,0.6,0.5,0.99,-8.0,-7.0,-0.1
2004-07-31,2,2,2,127.32386430330155,0.7048840495086914,0.20957845549979304,0.5,0.99,0.99,-9.0,-0.6000000000000001,-0.6000000000000001
2004-08-31,2,2,2,158.5150478489561,0.7027419431055721,0.21157575532659934,0.6,0.99,0.99,-10.0,-0.6000000000000001,-0.6000000000000001
2004-09-30,2,2,2,133.4751105277445,0.6883370553881252,0.2226853609710682,0.5,0.99,0.99,-10.0,-0.8,-0.8
2004-10-31,2,3,109,106.91284501510464,0.42302164773098094,0.8105832828804227,0.7,0.99,0.8,-9.0,-0.8,-0.05
2004-11-30,2,2,2,105.7698424237796,0.7083311617594978,0.20672863440597278,0.5,0.99,0.99,-7.0,-0.8,-0.8
2004-12-31,2,2,84,94.76864820455624,0.39298907275981243,0.8503281102376267,0.9,0.8,0.9,-6.0,-5.0,-0.05
2005-01-31,2,2,85,116.58838926417374,0.32885087486658543,0.8466431884823805,0.6,0.6,0.9,-5.0,-5.0,-0.05
2005-02-28,2,2,30,103.3642626786872,0.3377268751904946,0.7307593058307991,0.7,0.5,0.99,-10.0,-7.0,-0.05
2005-03-31,2,2,116,98.50343445310907,0.33220570410875006,0.8021008578342419,0.9,0.5,0.9,-7.0,-9.0,-0.05
2005-04-30,2,4,130,100.86023428206985,0.429676451994443,0.7852170190454101,0.6,0.99,0.9,-15.0,-0.4,-0.05
2005-05-31,2,5,121,79.36531146768462,0.407160820571816,0.779518650115737,0.5,0.99,0.9,-8.0,-0.4,-0.05
2005-06-30,2,5,136,95.94540597759539,0.23899095109165375,0.7564498794488562,0.5,0.99,0.9,-10.0,-0.4,-0.05
2005-07-31,2,4,110,88.84146769752108,0.3651802904277638,0.7734766291930015,0.6,0.99,0.5,-9.0,-0.6000000000000001,-0.05
2005-08-31,2,2,2,90.53324418658018,0.7669986283148738,0.1603718088081389,0.5,0.99,0.99,-10.0,-0.6000000000000001,-0.6000000000000001
2005-09-30,2,2,120,113.33491383837973,0.3284450804629211,0.7685866004297058,0.5,0.99,0.6,-7.0,-0.6000000000000001,-0.05
2005-10-31,3,2,2,78.61095559269161,0.8455032190230266,0.10363042105924558,0.9,0.99,0.99,-4.0,-0.6000000000000001,-0.6000000000000001
2005-11-30,2,2,93,75.00494284504343,0.6693941619229518,0.8633650964785932,0.5,0.99,0.5,-8.0,-0.6000000000000001,-0.05
2005-12-31,2,3,55,85.46919760336769,0.33262599805263265,0.73031678053442,0.5,0.99,0.99,-10.0,-0.4,-0.05
2006-01-31,2,3,3,128.94634969750444,0.4194267205683873,0.8082617173199637,0.7,0.99,0.99,-6.0,-0.4,-0.4
2006-02-28,2,4,8,71.46039063494686,0.6007921796966593,0.7572067035556034,0.5,0.99,0.99,-5.0,-0.4,-0.19999999999999996
2006-03-31,2,3,42,125.22244067246254,0.4863083451151669,0.8614212734304347,0.5,0.99,0.99,-8.0,-0.8,-0.05
2006-04-30,2,2,112,125.02229216772226,0.35740600513233256,0.8337778779106065,0.9,0.7,0.5,-15.0,-9.0,-0.05
2006-05-31,2,3,115,125.42570355975779,0.3103744838413754,0.7946615329630646,0.5,0.6,0.6,-10.0,-7.0,-0.05
2006-06-30,2,5,36,149.26758987648483,0.48746486527983435,0.817591443529301,0.8,0.99,0.99,-10.0,-0.4,-0.05
2006-07-31,2,2,41,143.70947279413082,0.31436781816875214,0.7462123554549687,0.6,0.7,0.9,-7.0,-10.0,-0.05
2006-08-31,2,2,124,128.98642416862282,0.2672397915761404,0.7968932583619732,0.6,0.6,0.7,-10.0,-15.0,-0.05
2006-09-30,2,2,10,127.76063910240579,0.3288994746115873,0.783601161414735,0.5,0.7,0.99,-9.0,-7.0,-0.19999999999999996
2006-10-31,2,2,17,128.05210128656955,0.3443946011490663,0.7626681903685354,0.5,0.99,0.99,-10.0,-0.8,-0.1
2006-11-30,2,2,2,93.01082655466737,0.8059101085772663,0.1336052371620714,0.5,0.99,0.99,-7.0,-1.0,-1.0
2006-12-31,2,2,50,123.8034018911066,0.41848404499301456,0.7915099444373783,0.6,0.99,0.99,-15.0,-0.8,-0.05
2007-01-31,2,3,24,132.62764441080807,0.48316566531212474,0.6927123144337582,0.5,0.99,0.99,-7.0,-0.8,-0.1
2007-02-28,2,3,121,96.72269558066151,0.4231164890035729,0.7842351391300317,0.7,0.99,0.5,-15.0,-0.8,-0.05
2007-03-31,2,3,108,87.30137727976765,0.5230851555557015,0.7989776154969768,0.5,0.99,0.7,-7.0,-0.8,-0.05
2007-04-30,2,7,17,95.45215963540893,0.37197723168766367,0.8035716205766349,0.5,0.99,0.99,-5.0,-0.19999999999999996,-0.1
2007-05-31,2,4,102,94.9633557287787,0.34672877855118156,0.7900045542404968,0.5,0.99,0.9,-6.0,-0.4,-0.05
2007-06-30,2,3,3,92.0438460681691,0.7022599725891879,0.19945456450964505,0.5,0.99,0.99,-10.0,-0.6000000000000001,-0.6000000000000001
2007-07-31,2,2,115,87.07834377018169,0.4340295876799003,0.8003382539435613,0.5,0.99,0.9,-7.0,-0.8,-0.05
2007-08-31,2,2,111,90.08797306001499,0.3861872684381549,0.8030828846664957,0.6,0.99,0.8,-6.0,-0.6000000000000001,-0.05
